user_name,review_text,rating,label,cleaned_review_text,tokenized_review,review_length,all_caps_ratio,sentiment,relevancy_score,emotions
SuKhi WebsiteDoctorz,Highly Recommended. Increase Engagement in Online Meetings.,5,Irrelevant,highly recommended increase engagement in online meetings,"['highly', 'recommended', 'increase', 'engagement', 'online', 'meetings']",6,0.0,POSITIVE,43,none
Derrick Phillips,Three years ago I had a car accident and I needed immediate help to cover lost wages. Fast Funds swooped in to the rescue and advanced me money to survive. It is 3 years later now my case is settled and Fast Funds got their money back. I must say that 3 years without worrying about making a loan payment or getting collection calls is well worth the fee. I absolutely love what they did to help and would recommend them to anyone waiting on the evil insurance companies to make things whole again.,5,Valid,three years ago i had a car accident and i needed immediate help to cover lost wages fast funds swooped in to the rescue and advanced me money to survive it is  years later now my case is settled and fast funds got their money back i must say that  years without worrying about making a loan payment or getting collection calls is well worth the fee i absolutely love what they did to help and would recommend them to anyone waiting on the evil insurance companies to make things whole again,"['years', 'ago', 'car', 'accident', 'needed', 'immediate', 'help', 'cover', 'lost', 'wages', 'fast', 'funds', 'swooped', 'rescue', 'advanced', 'money', 'survive', ' ', 'years', 'later', 'case', 'settled', 'fast', 'funds', 'got', 'money', ' ', 'years', 'worrying', 'making', 'loan', 'payment', 'getting', 'collection', 'calls', 'worth', 'fee', 'absolutely', 'love', 'help', 'recommend', 'waiting', 'evil', 'insurance', 'companies', 'things']",46,0.0425531914893617,POSITIVE,86,none
It's For Sale Main Account,"I wish I could give Jason and Fast Funds 10 stars for the Open & Honest way he conducted business with me.  The level of service was Exceptional.

There are many businesses designed to help people when they are in a less-than advantageous position.  Often, as customers in need of funds to sustain our living expenses we are desperate and have exhausted our resources leaving us few places to turn to and no power in the business relationship.

A businessman who suffered 3 heart failures over the last 18 months and the loss of my career as a result, this certainly was the case with me.

As a company, Fast Funds clearly understands their clientele and how to do this business right.

Design your business model in such a way that you are able to charge reasonable rates to your clients and still conduct business in a fair, ethical manner.

Hire good people with a high level of personal integrity and treat them with the same respect you insist they treat their clients with.  Pay them a wage sufficient to attract and keep quality employees and operate under a system that allows them to keep their integrity intact.

Jason was clear about the cost of the advance from the beginning.  The fee structure is easy to understand and there are no hidden charges or complicated scenarios to confuse the client.

As mentioned, the level of service was superb.  Highlighted by Jason's willingness to be helpful, answer questions, sometimes a little after hours.  He was clear about the process and what to expect without any hesitation that he may be held accountable for the statements he made.

I have been the owner of a service company with 30 employees and the manager of many others.  My name is Tom Hansen and I received my lawsuit advance December 17th, 2019.  My glowing review was earned each step of the way by Jason and the good people at Fast Funds of Hollywood, Florida.",5,Valid,"i wish i could give jason and fast funds  stars for the open  honest way he conducted business with me  the level of service was exceptional

there are many businesses designed to help people when they are in a lessthan advantageous position  often as customers in need of funds to sustain our living expenses we are desperate and have exhausted our resources leaving us few places to turn to and no power in the business relationship

a businessman who suffered  heart failures over the last  months and the loss of my career as a result this certainly was the case with me

as a company fast funds clearly understands their clientele and how to do this business right

design your business model in such a way that you are able to charge reasonable rates to your clients and still conduct business in a fair ethical manner

hire good people with a high level of personal integrity and treat them with the same respect you insist they treat their clients with  pay them a wage sufficient to attract and keep quality employees and operate under a system that allows them to keep their integrity intact

jason was clear about the cost of the advance from the beginning  the fee structure is easy to understand and there are no hidden charges or complicated scenarios to confuse the client

as mentioned the level of service was superb  highlighted by jasons willingness to be helpful answer questions sometimes a little after hours  he was clear about the process and what to expect without any hesitation that he may be held accountable for the statements he made

i have been the owner of a service company with  employees and the manager of many others  my name is tom hansen and i received my lawsuit advance december th   my glowing review was earned each step of the way by jason and the good people at fast funds of hollywood florida","['wish', 'jason', 'fast', 'funds', ' ', 'stars', 'open', ' ', 'honest', 'way', 'conducted', 'business', ' ', 'level', 'service', 'exceptional', '\n\n', 'businesses', 'designed', 'help', 'people', 'lessthan', 'advantageous', 'position', ' ', 'customers', 'need', 'funds', 'sustain', 'living', 'expenses', 'desperate', 'exhausted', 'resources', 'leaving', 'places', 'turn', 'power', 'business', 'relationship', '\n\n', 'businessman', 'suffered', ' ', 'heart', 'failures', ' ', 'months', 'loss', 'career', 'result', 'certainly', 'case', '\n\n', 'company', 'fast', 'funds', 'clearly', 'understands', 'clientele', 'business', 'right', '\n\n', 'design', 'business', 'model', 'way', 'able', 'charge', 'reasonable', 'rates', 'clients', 'conduct', 'business', 'fair', 'ethical', 'manner', '\n\n', 'hire', 'good', 'people', 'high', 'level', 'personal', 'integrity', 'treat', 'respect', 'insist', 'treat', 'clients', ' ', 'pay', 'wage', 'sufficient', 'attract', 'quality', 'employees', 'operate', 'system', 'allows', 'integrity', 'intact', '\n\n', 'jason', 'clear', 'cost', 'advance', 'beginning', ' ', 'fee', 'structure', 'easy', 'understand', 'hidden', 'charges', 'complicated', 'scenarios', 'confuse', 'client', '\n\n', 'mentioned', 'level', 'service', 'superb', ' ', 'highlighted', 'jasons', 'willingness', 'helpful', 'answer', 'questions', 'little', 'hours', ' ', 'clear', 'process', 'expect', 'hesitation', 'held', 'accountable', 'statements', '\n\n', 'owner', 'service', 'company', ' ', 'employees', 'manager', ' ', 'tom', 'hansen', 'received', 'lawsuit', 'advance', 'december', 'th', '  ', 'glowing', 'review', 'earned', 'step', 'way', 'jason', 'good', 'people', 'fast', 'funds', 'hollywood', 'florida']",169,0.015151515151515152,POSITIVE,100,admiration
Robert White,"I got over 12k $ from "" Fast Funds"" .

Jason,  worked quickly , and often wired my money on the same exact day.

These guys saved my but, twice !!!!

The charges were also much lower than the industry standard.

5 stars . Great service and a great product if you need it . 👍",5,Valid,"i got over k  from  fast funds 

jason  worked quickly  and often wired my money on the same exact day

these guys saved my but twice 

the charges were also much lower than the industry standard

 stars  great service and a great product if you need it  ","['got', 'k', ' ', ' ', 'fast', 'funds', '\n\n', 'jason', ' ', 'worked', 'quickly', ' ', 'wired', 'money', 'exact', 'day', '\n\n', 'guys', 'saved', 'twice', '\n\n', 'charges', 'lower', 'industry', 'standard', '\n\n ', 'stars', ' ', 'great', 'service', 'great', 'product', 'need', ' ']",34,0.017857142857142856,NEGATIVE,66,admiration
Mary D. Globally,I sent friends to them recently  Bruce & Jason were very attentive and a great help . I highly recommend them!!.,5,Valid,i sent friends to them recently  bruce  jason were very attentive and a great help  i highly recommend them,"['sent', 'friends', 'recently', ' ', 'bruce', ' ', 'jason', 'attentive', 'great', 'help', ' ', 'highly', 'recommend']",13,0.09523809523809523,POSITIVE,48,admiration
Yvette Demick,I was so pleased with the way Jason took care of everything and went out of his way to make sure I was taken care off...i was able to handle my family emergency right away  and I will be forever grateful for all the help and efficiiency....Thank you Jason ....it was truly a pleasure doing business with your company....i wish u the best....,5,Valid,i was so pleased with the way jason took care of everything and went out of his way to make sure i was taken care offi was able to handle my family emergency right away  and i will be forever grateful for all the help and efficiiencythank you jason it was truly a pleasure doing business with your companyi wish u the best,"['pleased', 'way', 'jason', 'took', 'care', 'went', 'way', 'sure', 'taken', 'care', 'offi', 'able', 'handle', 'family', 'emergency', 'right', 'away', ' ', 'forever', 'grateful', 'help', 'efficiiencythank', 'jason', 'truly', 'pleasure', 'business', 'companyi', 'wish', 'u', 'best']",30,0.047619047619047616,POSITIVE,70,"admiration, gratitude"
Anita Bradshaw,Fast Funds is a great place to do your lawsuit loan from very professional  and caring team of worker especially Mr. Jason .If you ever need any help please call them first you want be dissatisfied.,5,Valid,fast funds is a great place to do your lawsuit loan from very professional  and caring team of worker especially mr jason if you ever need any help please call them first you want be dissatisfied,"['fast', 'funds', 'great', 'place', 'lawsuit', 'loan', 'professional', ' ', 'caring', 'team', 'worker', 'especially', 'mr', 'jason', 'need', 'help', 'want', 'dissatisfied']",18,0.0,POSITIVE,51,none
Sister King,"To whom this may concern,
Recently, I was injured on the job. Stressed about apartment eviction and car/ insurance payments. These three are my biggest bills. After praying about my burdens, I then turned to my lawyer Mr. John Dufour. With his years of experience and affiliation with the company by the name of ""Fast Funds"" which are owned and operated by Mr. Bruce and Jason. Fast funds specializes in settlement cash advances. What does that mean? Its a financial relief for anyone who's injured. With that injury comes with a settlement offer. Well, from first hand it takes time to accumulate all the evidence in your situation. That's when hard times hit and you should contact ""Fast Funds"" where Bruce/Jason will be more than happy to assist you in your financial situation. If it wasn't for these three Angels I would be homeless, Literally! God places people in your life for a reason and these three Angels have been a blessing to my life. So stop worrying about what's already been solved. Go ahead and give ""Fast Funds"" a try Today!",5,Irrelevant,"to whom this may concern
recently i was injured on the job stressed about apartment eviction and car insurance payments these three are my biggest bills after praying about my burdens i then turned to my lawyer mr john dufour with his years of experience and affiliation with the company by the name of fast funds which are owned and operated by mr bruce and jason fast funds specializes in settlement cash advances what does that mean its a financial relief for anyone whos injured with that injury comes with a settlement offer well from first hand it takes time to accumulate all the evidence in your situation thats when hard times hit and you should contact fast funds where brucejason will be more than happy to assist you in your financial situation if it wasnt for these three angels i would be homeless literally god places people in your life for a reason and these three angels have been a blessing to my life so stop worrying about whats already been solved go ahead and give fast funds a try today","['concern', '\n', 'recently', 'injured', 'job', 'stressed', 'apartment', 'eviction', 'car', 'insurance', 'payments', 'biggest', 'bills', 'praying', 'burdens', 'turned', 'lawyer', 'mr', 'john', 'dufour', 'years', 'experience', 'affiliation', 'company', 'fast', 'funds', 'owned', 'operated', 'mr', 'bruce', 'jason', 'fast', 'funds', 'specializes', 'settlement', 'cash', 'advances', 'mean', 'financial', 'relief', 's', 'injured', 'injury', 'comes', 'settlement', 'offer', 'hand', 'takes', 'time', 'accumulate', 'evidence', 'situation', 's', 'hard', 'times', 'hit', 'contact', 'fast', 'funds', 'brucejason', 'happy', 'assist', 'financial', 'situation', 'nt', 'angels', 'homeless', 'literally', 'god', 'places', 'people', 'life', 'reason', 'angels', 'blessing', 'life', 'stop', 'worrying', 's', 'solved', 'ahead', 'fast', 'funds', 'try', 'today']",85,0.016483516483516484,NEGATIVE,100,none
Jenny Castillo,The best fast funds ever I lost my mother thanks to fast funds I was able to cover my mother funeral so professional and services are so fast the funds were in my account in the blink of an eye,5,Irrelevant,the best fast funds ever i lost my mother thanks to fast funds i was able to cover my mother funeral so professional and services are so fast the funds were in my account in the blink of an eye,"['best', 'fast', 'funds', 'lost', 'mother', 'thanks', 'fast', 'funds', 'able', 'cover', 'mother', 'funeral', 'professional', 'services', 'fast', 'funds', 'account', 'blink', 'eye']",19,0.05,POSITIVE,58,admiration
jr wood,"Hands down some of the best customer service I have experienced within the industry! Helpful, great pricing, not to mention responding to emails after hours within record time frames!

Thank you for making my transaction so smooth considering all the questions I had.",5,Valid,"hands down some of the best customer service i have experienced within the industry helpful great pricing not to mention responding to emails after hours within record time frames

thank you for making my transaction so smooth considering all the questions i had","['hands', 'best', 'customer', 'service', 'experienced', 'industry', 'helpful', 'great', 'pricing', 'mention', 'responding', 'emails', 'hours', 'record', 'time', 'frames', '\n\n', 'thank', 'making', 'transaction', 'smooth', 'considering', 'questions']",23,0.046511627906976744,POSITIVE,60,"admiration, gratitude"
Anthony Morales,I would definitely recommend shopping for all your off-road related items here! Everything arrived on time and in good condition. I couldn’t be happier. Great customer service from James. 10/10 would recommend!,5,Valid,i would definitely recommend shopping for all your offroad related items here everything arrived on time and in good condition i couldnt be happier great customer service from james  would recommend,"['definitely', 'recommend', 'shopping', 'offroad', 'related', 'items', 'arrived', 'time', 'good', 'condition', 'nt', 'happier', 'great', 'customer', 'service', 'james', ' ', 'recommend']",18,0.0625,POSITIVE,54,admiration
auburn extreme Powersports,"These guys are amazing and have the feel of a small shop where you can get a change to know the employees. If you have a question or need a recommendation to achieve the customization goal they can totally help you out. I bought new doors, bags, paddle tire kit and they all arrived before my big Thanksgiving trip to make my RZR look sweet. I highly recommend these guys for the huge amount of inventory, experience, and overall great prices, I can buy here without feeling the need to price shop other locations. Thank you to everyone at AO for all your help and you can betcha buns ill be back!",5,Valid,these guys are amazing and have the feel of a small shop where you can get a change to know the employees if you have a question or need a recommendation to achieve the customization goal they can totally help you out i bought new doors bags paddle tire kit and they all arrived before my big thanksgiving trip to make my rzr look sweet i highly recommend these guys for the huge amount of inventory experience and overall great prices i can buy here without feeling the need to price shop other locations thank you to everyone at ao for all your help and you can betcha buns ill be back,"['guys', 'amazing', 'feel', 'small', 'shop', 'change', 'know', 'employees', 'question', 'need', 'recommendation', 'achieve', 'customization', 'goal', 'totally', 'help', 'bought', 'new', 'doors', 'bags', 'paddle', 'tire', 'kit', 'arrived', 'big', 'thanksgiving', 'trip', 'rzr', 'look', 'sweet', 'highly', 'recommend', 'guys', 'huge', 'inventory', 'experience', 'overall', 'great', 'prices', 'buy', 'feeling', 'need', 'price', 'shop', 'locations', 'thank', 'ao', 'help', 'betcha', 'buns', 'ill']",51,0.044642857142857144,POSITIVE,95,admiration
Lovehub,James and Chris went above and beyond on my X3 build. The amount of detail and time they took on every little piece of this car is unmatched. And they were with me every step of the way. Pricing was competitive with online pricing yet they have a brick and mortar location.  Thanks again guys,5,Valid,james and chris went above and beyond on my x build the amount of detail and time they took on every little piece of this car is unmatched and they were with me every step of the way pricing was competitive with online pricing yet they have a brick and mortar location  thanks again guys,"['james', 'chris', 'went', 'x', 'build', 'detail', 'time', 'took', 'little', 'piece', 'car', 'unmatched', 'step', 'way', 'pricing', 'competitive', 'online', 'pricing', 'brick', 'mortar', 'location', ' ', 'thanks', 'guys']",24,0.01818181818181818,POSITIVE,55,"admiration, gratitude"
Westley Aston,Ordered a headlight kit for my X3. Great Price and answers emails quickly. Will order from them again! Thanks!,5,Valid,ordered a headlight kit for my x great price and answers emails quickly will order from them again thanks,"['ordered', 'headlight', 'kit', 'x', 'great', 'price', 'answers', 'emails', 'quickly', 'order', 'thanks']",11,0.05263157894736842,POSITIVE,48,gratitude
Nicholas Moreno,These guys are the best in the industry. They do some build and amazing work. I've been taking my utv tonthem for years now.,5,Valid,these guys are the best in the industry they do some build and amazing work ive been taking my utv tonthem for years now,"['guys', 'best', 'industry', 'build', 'amazing', 'work', 've', 'taking', 'utv', 'tonthem', 'years']",11,0.0,POSITIVE,51,admiration
Fredrick Burnstein,"Great experience, overall - Loved it. 5 Stars.

My Raptor needed the 'Icon Vehicle Dynamics 2010 - 2014 Ford SVT Raptor 3.0 Performance Suspension - Stage 1' and I was able to checkout on the website & it got shipped relatively quickly. Nothing but good things to say about this company!",5,Valid,"great experience overall  loved it  stars

my raptor needed the icon vehicle dynamics    ford svt raptor  performance suspension  stage  and i was able to checkout on the website  it got shipped relatively quickly nothing but good things to say about this company","['great', 'experience', 'overall', ' ', 'loved', ' ', 'stars', '\n\n', 'raptor', 'needed', 'icon', 'vehicle', 'dynamics', '   ', 'ford', 'svt', 'raptor', ' ', 'performance', 'suspension', ' ', 'stage', ' ', 'able', 'checkout', 'website', ' ', 'got', 'shipped', 'relatively', 'quickly', 'good', 'things', 'company']",34,0.0392156862745098,POSITIVE,64,admiration
Chris Hrezo,"I love this place! They have always treated me right and act more like friends to me than just another off-road shop! James is always upfront and honest, and always as professional as possible. Prices are always very low and Dalton does the best and cleanest wiring of any SXS shop that I have seen! They stand behind their products and will do whatever they have to to get the products you need!",5,Valid,i love this place they have always treated me right and act more like friends to me than just another offroad shop james is always upfront and honest and always as professional as possible prices are always very low and dalton does the best and cleanest wiring of any sxs shop that i have seen they stand behind their products and will do whatever they have to to get the products you need,"['love', 'place', 'treated', 'right', 'act', 'like', 'friends', 'offroad', 'shop', 'james', 'upfront', 'honest', 'professional', 'possible', 'prices', 'low', 'dalton', 'best', 'cleanest', 'wiring', 'sxs', 'shop', 'seen', 'stand', 'products', 'products', 'need']",27,0.0410958904109589,POSITIVE,75,admiration
Alchemy Leads,Love the quality of work & service here! 5/5 Stars no question,5,Valid,love the quality of work  service here  stars no question,"['love', 'quality', 'work', ' ', 'service', ' ', 'stars', 'question']",8,0.0,POSITIVE,45,admiration
Seth Walker,"I have always admired AO's builds and had one day hoped to get my car in their shop for upgrades. Before I could do that, I ran out of talent and wadded up the front end on my RZR cracking the frame in the process. I called Alternative the following day (on a Sunday) and surprisingly James answered my call. He answered all my questions and walked me through the whole insurance process without even expecting me to bring my car to him. It was like we had known each other for years.

The shop is a couple hours from me but was well worth the drive. I ended up having a lot of problems with my insurance company dropping the ball and jacking me around. James was super patient, helped me out a ton with all the issues, was up front about every detail, and finally my RZR came back looking like nothing ever happened even with a full frame swap. They went above and beyond to clean up all my wiring that another ""shop"" had slapped together.

Their pics speak for themselves. Believe me when I say their work is very clean and thorough. Solid team of guys that do things right the first time. Extremely hard to find in this industry.

Highly recommend!",5,Valid,"i have always admired aos builds and had one day hoped to get my car in their shop for upgrades before i could do that i ran out of talent and wadded up the front end on my rzr cracking the frame in the process i called alternative the following day on a sunday and surprisingly james answered my call he answered all my questions and walked me through the whole insurance process without even expecting me to bring my car to him it was like we had known each other for years

the shop is a couple hours from me but was well worth the drive i ended up having a lot of problems with my insurance company dropping the ball and jacking me around james was super patient helped me out a ton with all the issues was up front about every detail and finally my rzr came back looking like nothing ever happened even with a full frame swap they went above and beyond to clean up all my wiring that another shop had slapped together

their pics speak for themselves believe me when i say their work is very clean and thorough solid team of guys that do things right the first time extremely hard to find in this industry

highly recommend","['admired', 'aos', 'builds', 'day', 'hoped', 'car', 'shop', 'upgrades', 'ran', 'talent', 'wadded', 'end', 'rzr', 'cracking', 'frame', 'process', 'called', 'alternative', 'following', 'day', 'sunday', 'surprisingly', 'james', 'answered', 'answered', 'questions', 'walked', 'insurance', 'process', 'expecting', 'bring', 'car', 'like', 'known', 'years', '\n\n', 'shop', 'couple', 'hours', 'worth', 'drive', 'ended', 'having', 'lot', 'problems', 'insurance', 'company', 'dropping', 'ball', 'jacking', 'james', 'super', 'patient', 'helped', 'ton', 'issues', 'detail', 'finally', 'rzr', 'came', 'looking', 'like', 'happened', 'frame', 'swap', 'went', 'clean', 'wiring', 'shop', 'slapped', '\n\n', 'pics', 'speak', 'believe', 'work', 'clean', 'thorough', 'solid', 'team', 'guys', 'things', 'right', 'time', 'extremely', 'hard', 'find', 'industry', '\n\n', 'highly', 'recommend']",90,0.037037037037037035,POSITIVE,100,none
What the Z,One of the best places for off road parts.,5,Valid,one of the best places for off road parts,"['best', 'places', 'road', 'parts']",4,0.0,POSITIVE,44,none
Bill Rabe,My refund was issued,4,Irrelevant,my refund was issued,"['refund', 'issued']",2,0.0,NEGATIVE,39,none
Charmian McKeown,"Horrendous experience

Ordered an expensive desk from Homary and was told 9 - 11 week delivery time. It took 21 weeks. I was very happy to wait and was very understanding due to the COVID situation however when the desk finally arrived, it was only one piece, with no legs! I was then told the remaining legs would arrive in 9 - 11 weeks again, but may be longer. I could not wait another 21 weeks as I work from home and have no where to sit!

I politely asked for a refund as I couldn't wait any longer and would just purchase a cheaper desk for now that could be delivered quickly.

I have only been refunded a partial amount and no idea why, as I should get the full refund - they are now ignoring my communications.

However the most frustrating and rude part of this process is that after my understanding for 21 weeks, I asked for the large/heavy piece of unusable desk they delivered to be picked up - I cannot move it and it is taking up my entire hall. I was told I have to ""dispose of it"". I explained it is too heavy and I can't afford to get someone to come and get it, I was then told to ""Ask family or friends to help"". I have no family or friends living near me and I found this so unhelpful and pretty assumptive and upsetting. It is now sitting in my hallway as a health and safety hazard, I am £80 down as they haven't paid me a full refund and I have to order anew desk to work from after waiting 21 weeks.

I never review companies online as I understand mistakes happen but I wouldn't want anyone else to deal with this incompetent company.

Be warned!",1,Rant,"horrendous experience

ordered an expensive desk from homary and was told    week delivery time it took  weeks i was very happy to wait and was very understanding due to the covid situation however when the desk finally arrived it was only one piece with no legs i was then told the remaining legs would arrive in    weeks again but may be longer i could not wait another  weeks as i work from home and have no where to sit

i politely asked for a refund as i couldnt wait any longer and would just purchase a cheaper desk for now that could be delivered quickly

i have only been refunded a partial amount and no idea why as i should get the full refund  they are now ignoring my communications

however the most frustrating and rude part of this process is that after my understanding for  weeks i asked for the largeheavy piece of unusable desk they delivered to be picked up  i cannot move it and it is taking up my entire hall i was told i have to dispose of it i explained it is too heavy and i cant afford to get someone to come and get it i was then told to ask family or friends to help i have no family or friends living near me and i found this so unhelpful and pretty assumptive and upsetting it is now sitting in my hallway as a health and safety hazard i am  down as they havent paid me a full refund and i have to order anew desk to work from after waiting  weeks

i never review companies online as i understand mistakes happen but i wouldnt want anyone else to deal with this incompetent company

be warned","['horrendous', 'experience', '\n\n', 'ordered', 'expensive', 'desk', 'homary', 'told', '   ', 'week', 'delivery', 'time', 'took', ' ', 'weeks', 'happy', 'wait', 'understanding', 'covid', 'situation', 'desk', 'finally', 'arrived', 'piece', 'legs', 'told', 'remaining', 'legs', 'arrive', '   ', 'weeks', 'longer', 'wait', ' ', 'weeks', 'work', 'home', 'sit', '\n\n', 'politely', 'asked', 'refund', 'nt', 'wait', 'longer', 'purchase', 'cheaper', 'desk', 'delivered', 'quickly', '\n\n', 'refunded', 'partial', 'idea', 'refund', ' ', 'ignoring', 'communications', '\n\n', 'frustrating', 'rude', 'process', 'understanding', ' ', 'weeks', 'asked', 'largeheavy', 'piece', 'unusable', 'desk', 'delivered', 'picked', ' ', 'taking', 'entire', 'hall', 'told', 'dispose', 'explained', 'heavy', 'nt', 'afford', 'come', 'told', 'ask', 'family', 'friends', 'help', 'family', 'friends', 'living', 'near', 'found', 'unhelpful', 'pretty', 'assumptive', 'upsetting', 'sitting', 'hallway', 'health', 'safety', 'hazard', ' ', 'nt', 'paid', 'refund', 'order', 'anew', 'desk', 'work', 'waiting', ' ', 'weeks', '\n\n', 'review', 'companies', 'online', 'understand', 'mistakes', 'happen', 'nt', 'want', 'deal', 'incompetent', 'company', '\n\n', 'warned']",127,0.07516339869281045,NEGATIVE,100,none
Steve J,"Hi... It's been almost a month since I purchase a table that said ""in stock""... I requested the tracking number a few days later by email and was told it was being process and will be shipped out soon... Now weeks after it's still not shipped and no further reply to my enquires!!!",1,Rant,hi its been almost a month since i purchase a table that said in stock i requested the tracking number a few days later by email and was told it was being process and will be shipped out soon now weeks after its still not shipped and no further reply to my enquires,"['hi', 'month', 'purchase', 'table', 'said', 'stock', 'requested', 'tracking', 'number', 'days', 'later', 'email', 'told', 'process', 'shipped', 'soon', 'weeks', 'shipped', 'reply', 'enquires']",20,0.03773584905660377,NEGATIVE,65,none
